start,game_id,player_id,time_in,goals,cards
S,1,1,0,0,-
S,1,2,0,0,-
S,1,3,0,0,-
B,1,4,90,0,-
B,1,5,90,0,-
B,1,7,90,0,-
B,1,8,90,0,-
B,1,9,69,0,-
B,1,10,82,0,Y2
B,1,11,87,0,-
B,1,12,90,0,-
B,1,13,90,0,-
S,1,14,21,0,-
S,1,15,3,0,-
S,1,20,0,0,-
S,1,23,8,0,-
B,1,26,90,0,-
B,1,66,90,0,Y
B,2,4,90,0,-
B,2,5,90,0,-
B,2,7,67,1,-
B,2,8,87,0,-
B,2,9,89,0,-
B,2,10,90,1,-
B,2,11,90,0,-
B,2,12,90,0,-
B,2,13,90,0,-
S,2,14,23,0,-
S,2,15,1,0,-
S,2,18,0,0,-
S,2,20,3,0,-
S,2,22,0,0,-
S,2,23,0,0,-
B,2,26,90,0,-
S,2,32,0,0,-
B,2,66,90,0,Y
B,3,4,90,0,-
B,3,5,90,0,-
B,3,7,90,0,-
B,3,8,67,0,-
B,3,9,90,0,-
B,3,10,80,0,-
B,3,11,90,1,-
B,3,12,90,0,-
B,3,13,90,0,-
S,3,14,23,0,-
S,3,15,10,0,-
S,3,18,0,0,-
S,3,20,0,0,-
S,3,22,0,0,-
S,3,23,0,0,-
B,3,26,90,0,-
S,3,32,1,0,-
B,3,66,89,0,Y
B,4,4,90,0,Y
B,4,5,90,0,-
B,4,7,90,0,Y
S,4,8,19,0,-
B,4,9,90,1,-
B,4,10,90,1,-
B,4,11,71,0,-
B,4,12,90,0,-
B,4,13,90,0,-
B,4,14,71,0,-
S,4,15,10,0,-
S,4,18,0,0,-
S,4,20,0,0,-
S,4,22,0,0,-
S,4,23,19,0,-
B,4,26,90,0,-
S,4,32,1,0,-
B,4,66,89,0,-
S,5,3,0,0,-
B,5,4,90,0,-
B,5,5,90,1,-
B,5,7,90,0,-
B,5,8,83,0,-
B,5,9,74,1,-
B,5,10,90,0,-
B,5,11,90,0,-
B,5,12,90,0,-
B,5,13,90,0,-
S,5,14,16,0,-
S,5,15,7,0,-
S,5,18,0,0,-
S,5,22,0,0,-
S,5,23,0,0,-
B,5,26,90,0,-
S,5,32,1,0,-
B,5,66,89,0,-
S,6,3,0,0,-
B,6,4,55,0,-
B,6,5,70,0,-
S,6,7,45,0,-
S,6,8,20,0,-
B,6,9,90,0,-
B,6,10,90,0,-
B,6,11,90,1,-
S,6,12,35,0,-
B,6,13,90,0,-
B,6,14,90,NULL,NULL
